קיים כבר בספריא,שם הספר,שם הקובץ,קטגורייה,auto,noc
FALSE,פרק ב,490058,דמאי,,1
FALSE,פרק ג,490059,דמאי,,1
FALSE,פרק ד,490060,דמאי,,1
FALSE,פרק ה,490061,דמאי,,1
FALSE,פרק ו,490062,דמאי,,1
FALSE,פרק ז,490063,דמאי,,1
FALSE,פרק א,490098,כלאיים,,1
FALSE,פרק ב,490099,כלאיים,,1
FALSE,פרק ג,490100,כלאיים,,1
FALSE,פרק ד,490101,כלאיים,,1
FALSE,פרק ה,490102,כלאיים,,1
FALSE,פרק ו,490103,כלאיים,,1
FALSE,פרק ז,490104,כלאיים,,1
FALSE,פרק ח,490105,כלאיים,,1
FALSE,פרק ט,490106,כלאיים,,1
FALSE,פרק א,490241,שביעית,,1
FALSE,פרק ב,490242,שביעית,,1
FALSE,פרק ג,490243,שביעית,,1
FALSE,פרק ד,490244,שביעית,,1
FALSE,פרק ה,490245,שביעית,,1
FALSE,פרק ו,490246,שביעית,,1
FALSE,פרק ז,490247,שביעית,,1
FALSE,פרק ח,490248,שביעית,,1
FALSE,פרק ט,490249,שביעית,,1
FALSE,פרק י,490250,שביעית,,1
FALSE,פרק א,490287,תרומות,,1
FALSE,פרק ב,490288,תרומות,,1
FALSE,פרק ג,490289,תרומות,,1
FALSE,פרק ד,490290,תרומות,,1
FALSE,פרק ה,490291,תרומות,,1
FALSE,פרק ו,490292,תרומות,,1
FALSE,פרק ז,490293,תרומות,,1
FALSE,פרק ח,490294,תרומות,,1
FALSE,פרק ט,490295,תרומות,,1
FALSE,פרק י,490296,תרומות,,1
FALSE,פרק יא,490297,תרומות,,1
FALSE,פרק א,490135,מעשרות,,1
FALSE,פרק ב,490136,מעשרות,,1
FALSE,פרק ג,490137,מעשרות,,1
FALSE,פרק ד,490138,מעשרות,,1
FALSE,פרק ה,490139,מעשרות,,1
FALSE,פרק א,490130,מעשר שני,,1
FALSE,פרק ב,490131,מעשר שני,,1
FALSE,פרק ג,490132,מעשר שני,,1
FALSE,פרק ד,490133,מעשר שני,,1
FALSE,פרק ה,490134,מעשר שני,,1
FALSE,פרק א,490070,חלה,,1
FALSE,פרק ב,490071,חלה,,1
FALSE,פרק ג,490072,חלה,,1
FALSE,פרק ד,490073,חלה,,1
FALSE,פרק א,490194,עורלה,,1
FALSE,פרק ב,490195,עורלה,,1
FALSE,פרק ג,490196,עורלה,,1
FALSE,פרק א,490031,ביכורים,,1
FALSE,פרק ב,490032,ביכורים,,1
FALSE,פרק ג,490033,ביכורים,,1
FALSE,שבת,,מועד,,
FALSE,עירובין,,מועד,,
FALSE,פסחים,,מועד,,
FALSE,יומא,,מועד,,
FALSE,שקלים,,מועד,,
FALSE,ראש השנה,,מועד,,
FALSE,סוכה,,מועד,,
FALSE,ביצה,,מועד,,
FALSE,תענית,,מועד,,
FALSE,מגילה,,מועד,,
FALSE,חגיגה,,מועד,,
FALSE,מועד קטן,,מועד,,
FALSE,פרק א,490251,שבת,,1
FALSE,פרק ב,490252,שבת,,1
FALSE,פרק ג,490253,שבת,,1
FALSE,פרק ד,490254,שבת,,1
FALSE,פרק ה,490255,שבת,,1
FALSE,פרק ו,490256,שבת,,1
FALSE,פרק ז,490257,שבת,,1
FALSE,פרק ח,490258,שבת,,1
FALSE,פרק ט,490259,שבת,,1
FALSE,פרק י,490260,שבת,,1
FALSE,פרק יא,490261,שבת,,1
FALSE,פרק יב,490262,שבת,,1
FALSE,פרק יג,490263,שבת,,1
FALSE,פרק יד,490264,שבת,,1
FALSE,פרק טו,490265,שבת,,1
FALSE,פרק טז,490266,שבת,,1
FALSE,פרק יז,490267,שבת,,1
FALSE,פרק יח,490268,שבת,,1
FALSE,פרק יט,490269,שבת,,1
FALSE,פרק כ,490270,שבת,,1
FALSE,פרק כא,490271,שבת,,1
FALSE,פרק כב,490272,שבת,,1
FALSE,פרק כג,490273,שבת,,1
FALSE,פרק כד,490274,שבת,,1
FALSE,פרק א,490197,עירובין,,1
FALSE,פרק ב,490198,עירובין,,1
FALSE,פרק ג,490199,עירובין,,1
FALSE,פרק ד,490200,עירובין,,1
FALSE,פרק ה,490201,עירובין,,1
FALSE,פרק ו,490202,עירובין,,1
FALSE,פרק ז,490203,עירובין,,1
FALSE,פרק ח,490204,עירובין,,1
FALSE,פרק ט,490205,עירובין,,1
FALSE,פרק י,490206,עירובין,,1
FALSE,פרק א,490215,פסחים,,1
FALSE,פרק ב,490216,פסחים,,1
FALSE,פרק ג,490217,פסחים,,1
FALSE,פרק ד,490218,פסחים,,1
FALSE,פרק ה,490219,פסחים,,1
FALSE,פרק ו,490220,פסחים,,1
FALSE,פרק ז,490221,פסחים,,1
FALSE,פרק ח,490222,פסחים,,1
FALSE,פרק ט,490223,פסחים,,1
FALSE,פרק י,490224,פסחים,,1
FALSE,פרק א,490090,יומא,,1
FALSE,פרק ב,490091,יומא,,1
FALSE,פרק ג,490092,יומא,,1
FALSE,פרק ד,490093,יומא,,1
FALSE,פרק ה,490094,יומא,,1
FALSE,פרק ו,490095,יומא,,1
FALSE,פרק ז,490096,יומא,,1
FALSE,פרק ח,490097,יומא,,1
FALSE,פרק א,490275,שקלים,,1
FALSE,פרק ב,490276,שקלים,,1
FALSE,פרק ג,490277,שקלים,,1
FALSE,פרק ד,490278,שקלים,,1
FALSE,פרק ה,490279,שקלים,,1
FALSE,פרק ו,490280,שקלים,,1
FALSE,פרק ז,490281,שקלים,,1
FALSE,פרק ח,490282,שקלים,,1
FALSE,פרק א,490229,ראש השנה,,1
FALSE,פרק ב,490230,ראש השנה,,1
FALSE,פרק ג,490231,ראש השנה,,1
FALSE,פרק ד,490232,ראש השנה,,1
FALSE,פרק א,490173,סוכה,,1
FALSE,פרק ב,490174,סוכה,,1
FALSE,פרק ג,490175,סוכה,,1
FALSE,פרק ד,490176,סוכה,,1
FALSE,פרק ה,490177,סוכה,,1
FALSE,פרק א,490034,ביצה,,1
FALSE,פרק ב,490035,ביצה,,1
FALSE,פרק ג,490036,ביצה,,1
FALSE,פרק ד,490037,ביצה,,1
FALSE,פרק ה,490038,ביצה,,1
FALSE,פרק א,490283,תענית,,1
FALSE,פרק ב,490284,תענית,,1
FALSE,פרק ג,490285,תענית,,1
FALSE,פרק ד,490286,תענית,,1
FALSE,פרק א,490120,מגילה,,1
FALSE,פרק ב,490121,מגילה,,1
FALSE,פרק ג,490122,מגילה,,1
FALSE,פרק ד,490123,מגילה,,1
FALSE,פרק א,490067,חגיגה,,1
FALSE,פרק ב,490068,חגיגה,,1
FALSE,פרק ג,490069,חגיגה,,1
FALSE,פרק א,490124,מועד קטן,,1
FALSE,פרק ב,490125,מועד קטן,,1
FALSE,פרק ג,490126,מועד קטן,,1
FALSE,יבמות,,נשים,,
FALSE,כתובות,,נשים,,
FALSE,נדרים,,נשים,,
FALSE,נזיר,,נשים,,
FALSE,גיטין,,נשים,,
FALSE,סוטה,,נשים,,
FALSE,קידושין,,נשים,,
FALSE,פרק א,490074,יבמות,,1
FALSE,פרק ב,490075,יבמות,,1
FALSE,פרק ג,490076,יבמות,,1
FALSE,פרק ד,490077,יבמות,,1
FALSE,פרק ה,490078,יבמות,,1
FALSE,פרק ו,490079,יבמות,,1
FALSE,פרק ז,490080,יבמות,,1
FALSE,פרק ח,490081,יבמות,,1
FALSE,פרק ט,490082,יבמות,,1
FALSE,פרק י,490083,יבמות,,1
FALSE,פרק יא,490084,יבמות,,1
FALSE,פרק יב,490085,יבמות,,1
FALSE,פרק יג,490086,יבמות,,1
FALSE,פרק יד,490087,יבמות,,1
FALSE,פרק טו,490088,יבמות,,1
