original path,target path,ForcedBookName,SearchInTitles,LastLevelIndex,CosmeticsType,PasukIndMode,HiddenFromIndex,FilesGotFrom,PutNewLinesAsIs,DisplayName,UniqueId,MixedSources,WeaveLevel,SpecialTitle,MixedDisplay,TextSource,GroupId,BranchName,Comments,RavMechaber,ChainFolderName
080_poskim_ahronim/101_pnini_halacha/10_LikutimA.obk,פוסקים אחרונים/פניני הלכה/ליקוטים א.txt,,,,,,,,,ליקוטים א,990010,,,,,הוצאת מכון הר-ברכה,,,,,
080_poskim_ahronim/030_solhn_uroc_hrb/04_sh4.obk,פוסקים אחרונים/שולחן ערוך הרב/שולחן ערוך הרב - או''ח ד.txt,,1,1,,0,0,,1,"שולחן ערוך הרב - או""ח ד",504,,,,0,"ספריית חב""ד",,,,,1
080_poskim_ahronim/030_solhn_uroc_hrb/05_sh5.obk,פוסקים אחרונים/שולחן ערוך הרב/שולחן ערוך הרב - יו''ד.txt,,1,1,,0,0,,1,"שולחן ערוך הרב - יו""ד",505,,,,0,"ספריית חב""ד",,,,,1
080_poskim_ahronim/030_solhn_uroc_hrb/01_sh1.obk,פוסקים אחרונים/שולחן ערוך הרב/שולחן ערוך הרב - או''ח א.txt,,1,1,,0,0,,1,"שולחן ערוך הרב - או""ח א",501,,,,0,"ספריית חב""ד",,,,,1
080_poskim_ahronim/030_solhn_uroc_hrb/06_sh6.obk,פוסקים אחרונים/שולחן ערוך הרב/שולחן ערוך הרב - חו''מ.txt,,1,1,,0,0,,1,"שולחן ערוך הרב - חו""מ",506,,,,0,"ספריית חב""ד",,,,,1
080_poskim_ahronim/030_solhn_uroc_hrb/13_ka3.obk,פוסקים אחרונים/שולחן ערוך הרב/שולחן ערוך הרב - קו''א או''ח ג.txt,,1,1,,0,0,,1,"שולחן ערוך הרב - קו""א או""ח ג",509,,,,0,"ספריית חב""ד",,,,,1
080_poskim_ahronim/030_solhn_uroc_hrb/14_ka4.obk,פוסקים אחרונים/שולחן ערוך הרב/שולחן ערוך הרב - קו''א או''ח ד.txt,,1,1,,0,0,,1,"שולחן ערוך הרב - קו""א או""ח ד",510,,,,0,"ספריית חב""ד",,,,,1
080_poskim_ahronim/030_solhn_uroc_hrb/11_ka1.obk,פוסקים אחרונים/שולחן ערוך הרב/שולחן ערוך הרב - קו''א או''ח א.txt,,1,1,,0,0,,1,"שולחן ערוך הרב - קו""א או""ח א",507,,,,0,"ספריית חב""ד",,,,,1
080_poskim_ahronim/030_solhn_uroc_hrb/12_ka2.obk,פוסקים אחרונים/שולחן ערוך הרב/שולחן ערוך הרב - קו''א או''ח ב.txt,,1,1,,0,0,,1,"שולחן ערוך הרב - קו""א או""ח ב",508,,,,0,"ספריית חב""ד",,,,,1
080_poskim_ahronim/030_solhn_uroc_hrb/15_ka5.obk,פוסקים אחרונים/שולחן ערוך הרב/שולחן ערוך הרב - קו''א יו''ד.txt,,1,1,,0,0,,1,"שולחן ערוך הרב - קו""א יו""ד",511,,,,0,"ספריית חב""ד",,,,,1
080_poskim_ahronim/030_solhn_uroc_hrb/02_sh2.obk,פוסקים אחרונים/שולחן ערוך הרב/שולחן ערוך הרב - או''ח ב.txt,,1,1,,0,0,,1,"שולחן ערוך הרב - או""ח ב",502,,,,0,"ספריית חב""ד",,,,,1
080_poskim_ahronim/030_solhn_uroc_hrb/16_ka6.obk,פוסקים אחרונים/שולחן ערוך הרב/שולחן ערוך הרב - קו''א חו''מ.txt,,1,1,,0,0,,1,"שולחן ערוך הרב - קו""א חו""מ",512,,,,0,"ספריית חב""ד",,,,,1
080_poskim_ahronim/030_solhn_uroc_hrb/03_sh3.obk,פוסקים אחרונים/שולחן ערוך הרב/שולחן ערוך הרב - או''ח ג.txt,,1,1,,0,0,,1,"שולחן ערוך הרב - או""ח ג",503,,,,0,"ספריית חב""ד",,,,,1
080_poskim_ahronim/080_ben_ish_hai/02_shmot/vaera.obk,פוסקים אחרונים/080_ben_ish_hai/02_shmot/בן איש חי - שנה ראשונה - פרשת וארא.txt,,,,,,,,,בן איש חי - שנה ראשונה - פרשת וארא,14046,,,,,www.shechem.org,,,,,
080_poskim_ahronim/080_ben_ish_hai/02_shmot/shemot.obk,פוסקים אחרונים/080_ben_ish_hai/02_shmot/בן איש חי - שנה ראשונה - פרשת שמות.txt,,,,,,,,,בן איש חי - שנה ראשונה - פרשת שמות,14042,,,,,www.shechem.org,,,,,
080_poskim_ahronim/080_ben_ish_hai/02_shmot/vayakhel.obk,פוסקים אחרונים/080_ben_ish_hai/02_shmot/בן איש חי - שנה ראשונה - פרשת ויקהל.txt,,,,,,,,,בן איש חי - שנה ראשונה - פרשת ויקהל,14039,,,,,www.shechem.org,,,,,
080_poskim_ahronim/080_ben_ish_hai/02_shmot/yitro.obk,פוסקים אחרונים/080_ben_ish_hai/02_shmot/בן איש חי - שנה ראשונה - פרשת יתרו.txt,,,,,,,,,בן איש חי - שנה ראשונה - פרשת יתרו,14053,,,,,www.shechem.org,,,,,
080_poskim_ahronim/080_ben_ish_hai/02_shmot/bshelach.obk,פוסקים אחרונים/080_ben_ish_hai/02_shmot/בן איש חי - שנה ראשונה - פרשת בשלח.txt,,,,,,,,,בן איש חי - שנה ראשונה - פרשת בשלח,14006,,,,,www.shechem.org,,,,,
