ID Book,Title,Author,Printing Place,Printing Year,Pub. Place,Pub. Date,Pages,OCLC ID,ULI Entry,Source,Go to External Site,Catalog Information,Content,MARC record,Tags
2565,אור המצות - חלק ב,"לאנגנער, אורי בן אברהם, 1896-1970",ניו יורק,תשכה,New York,1965,534,,,,,מצוות -- מניןבאורים.,,,"מצוות;רמב""ם"
2566,,,,,,,,,,,,,,,
2567,אור המצות - חלק ג,"לאנגנער, אורי בן אברהם, 1896-1970",ניו יורק,תשכו,New York,1966,533,,,,,"296.511 -- Moshe ben Maimon (Maimonides), Sefer ha-mizwot.",,,"מצוות;רמב""ם"
2568,אור הפלאות,"קאופמן, נתנאל",ניו יורק,תשי,New York,1950,96,,,,,"טיקטין, שמואל אפרים",,,"היכא תימצא;חידודים;שו""ת"
2569,אור השמש,"פאלייעוו, משה אהרן, 1888-1967",ניו יורק,תשיט,New York,1959,695,,,,,"296.584 -- Talmud Bavli - Hiddushim; Pilpulim - Aharonim, 1600 -.",,,סוגיות
2570,אור התורה,"לאנגנער, אורי בן אברהם, 1896-1970",ניו יורק,תשט,New York,1949,424,,,,,"296.451 -- Sermons on the weekly sections of the law, Derashot le-Shabatot.",,,"דרשות;עה""ת"
2571,אור עולם,"בלומנפלד, מאיר בן שלמה, 1905-1980",נוארק,תשכח,?,1968,203,,,,,חדושים ופלפולים,,,סוגיות
2572,אור תורה,"פלקסר, יעקב בן אברהם, הכהן",ניו היווען,תשכב,New Heaven,1962,238,,,,,,,,דרשות;סוגיות
2573,אור תורה,"בלומנפלד, מאיר בן שלמה, 1905-1980",נוארק,תשכב,New York City,1962,242,,,,,חדושים ופלפולים,,,סוגיות
2574,אושר אבות,"וולינץ, אהרן אשר",ניו יורק,תשיב,New York,1952,132,,,,,"וולינץ, אהרן אשר",,,אבות
2575,,,,,,,,,,,,,,,
2576,אוצר החגים והמועדים - חלק ב,"וולף, נחום, תרמ""ט",ניו יורק,תרצט,New York,1939,1,,,,,"296.38 -- Shabbat umoadim, holidays(including yearly cycle) - Comprehensive works",,,גאונים;מועדים;שבת
2577,,,,,,,,,,,,,,,
2578,,,,,,,,,,,,,,,
2579,,,,,,,,,,,,,,,
2580,,,,,,,,,,,,,,,
2581,אוצר השמות - חלק ה,"רוזנברג, אברהם חיים",ניו יורק,תרעב,New York,1912,137,,,,,922.964 -- Jews - Names of persons and places.,,,שמות
2582,אוצר התהלים - חלק א,"הכהן, אברהם יעקב בן בנציון",ניו יורק,תשז,New York,1947,405,,,,,224.17 -- Bible. Hagiographa (Ketuvim). Psalms (Tehillim) - Commentaries.,,,"נ""ך;תהלים"
2583,אוצר התורה,"הורביץ, שמריהו ליב",ניו יורק,תרפו,New York,1926,412,,,,,"הורוביץ, שמריהו ליב",,,"אנציקלופידיא;דרשות;עה""ת"
2584,,,,,,,,,,,,,,,
2585,אוצר מדרשים - חלק ב,"איזנשטין, יהודה דוד, 1854-1956",ניו יורק,תרעה,New York,1915,332,,,,,"איזנשטין, יהודה דוד, -- 1854-1956",,,מדרש
2586,אוצר נחמד,"סילברסטון, גדליה בן ישעיה מאיר",וושינגטון,תרצט,Washington,1939,32,,,,,"296.452 -- Sermons for holidays and festivals, Derashot le-Moadim.",,,דרשות
2587,אוצר נחמד,"גרינולד, יקותיאל יהודה",קולומבוס,תרצט,Columbus,1939,130,,,,,"גרינולד, יקותיאל יהודה בן יעקב",,,ירחון
2588,עולת שמואל,"בסקין, שמואל בן בנימין",ניו יורק,תשכה,New York,1965,292,,,,,,,,גאונים;דרשות
2589,אוצר ישראל - חלק א (א-אכ),"איזנשטין, יהודה דוד, 1854-1956",ניו יורק,תשיא,New York,1951,337,,,,,"איזנשטין, יהודה דוד, -- 1854-1956",,,אנציקלופדיה;תולדות
2590,"אוצר ישראל - חלק י (רמה-סוף, מפתחות)","איזנשטין, יהודה דוד, 1854-1956",ניו יורק,תרעג,New York,1913,348,,,,,יהדות -- אנציקלופדיות.,,,אנציקלופדיה
2591,אוצר ישראל - חלק ב (אל-בול),"איזנשטין, יהודה דוד, 1854-1956",ניו יורק,תשיא,New York,1951,326,,,,,"איזנשטין, יהודה דוד",,,אנציקלופדיה
2592,אוצר ישראל - חלק ג (בונא-גת),"איזנשטין, יהודה דוד, 1854-1956",ניו יורק,תרסו,New York,1906,327,,,,,"איזנשטין, יהודה דוד, -- 1854-1956",,,אנציקלופדיה;תולדות
2593,אוצר ישראל - חלק ד (דאג-חתן),"איזנשטין, יהודה דוד, 1854-1956",ניו יורק,תרסו,New York,1906,328,,,,,"איזנשטין, יהודה דוד, -- 1854-1956",,,אנציקלופדיה
